x-axis,1,REF2
second,Volt,Volt
+1.27300000E-03,-1.10023624E-03,-1.17588267E-03
+1.27302500E-03,-1.13338752E-03,-1.20884219E-03
+1.27305000E-03,-1.18373948E-03,-1.37905376E-03
+1.27307500E-03,-1.40595469E-03,-1.53758474E-03
+1.27310000E-03,-1.55721440E-03,-1.65117288E-03
+1.27312500E-03,-1.79354431E-03,-1.77758737E-03
+1.27315000E-03,-1.99697289E-03,-2.01604234E-03
+1.27317500E-03,-2.16259423E-03,-2.23443015E-03
+1.27320000E-03,-2.38779441E-03,-2.55655148E-03
+1.27322500E-03,-2.74285235E-03,-2.75826837E-03
+1.27325000E-03,-3.09176818E-03,-2.99392109E-03
+1.27327500E-03,-3.33998732E-03,-3.35379478E-03
+1.27330000E-03,-3.51921290E-03,-3.75012102E-03
+1.27332500E-03,-3.89562244E-03,-4.07448952E-03
+1.27335000E-03,-4.16964019E-03,-4.26454784E-03
+1.27337500E-03,-4.37971531E-03,-4.51374659E-03
+1.27340000E-03,-4.68347272E-03,-4.89481027E-03
+1.27342500E-03,-4.99970462E-03,-5.25675264E-03
+1.27345000E-03,-5.26571359E-03,-5.42782382E-03
+1.27347500E-03,-5.43651311E-03,-5.58509508E-03
+1.27350000E-03,-5.54721759E-03,-5.67761083E-03
+1.27352500E-03,-5.61261442E-03,-5.79527935E-03
+1.27355000E-03,-5.75554665E-03,-5.92213856E-03
+1.27357500E-03,-5.81922908E-03,-6.04048065E-03
+1.27360000E-03,-5.90680756E-03,-5.98516942E-03
+1.27362500E-03,-5.97320300E-03,-5.96607162E-03
+1.27365000E-03,-5.79186261E-03,-5.94952704E-03
+1.27367500E-03,-5.73503537E-03,-5.89528044E-03
+1.27370000E-03,-5.67933307E-03,-5.75799161E-03
+1.27372500E-03,-5.51193461E-03,-5.62779707E-03
+1.27375000E-03,-5.35445561E-03,-5.38818791E-03
+1.27377500E-03,-5.19423828E-03,-5.10684311E-03
+1.27380000E-03,-4.80928147E-03,-4.96247116E-03
+1.27382500E-03,-4.42772874E-03,-4.68453314E-03
+1.27385000E-03,-4.22424619E-03,-4.41598905E-03
+1.27387500E-03,-3.96203657E-03,-4.08446807E-03
+1.27390000E-03,-3.63788817E-03,-3.79900401E-03
+1.27392500E-03,-3.40202198E-03,-3.44323028E-03
+1.27395000E-03,-3.10449501E-03,-3.24628844E-03
+1.27397500E-03,-2.77529357E-03,-2.90221851E-03
+1.27400000E-03,-2.49090892E-03,-2.55619690E-03
+1.27402500E-03,-2.14284909E-03,-2.27003996E-03
+1.27405000E-03,-2.00320092E-03,-2.07069356E-03
+1.27407500E-03,-1.64568023E-03,-1.80507444E-03
+1.27410000E-03,-1.37316191E-03,-1.56585634E-03
+1.27412500E-03,-1.27172350E-03,-1.39680017E-03
+1.27415000E-03,-1.13771392E-03,-1.21880687E-03
+1.27417500E-03,-1.04642563E-03,-1.10571622E-03
+1.27420000E-03,-958.78623E-06,-956.07956E-06
+1.27422500E-03,-839.76453E-06,-946.83308E-06
+1.27425000E-03,-737.47194E-06,-986.31552E-06
+1.27427500E-03,-902.36151E-06,-1.07303711E-03
+1.27430000E-03,-1.00499421E-03,-1.15899888E-03
+1.27432500E-03,-1.15444333E-03,-1.20892511E-03
+1.27435000E-03,-1.23120567E-03,-1.23908780E-03
+1.27437500E-03,-1.42055784E-03,-1.40605811E-03
+1.27440000E-03,-1.75928255E-03,-1.64300190E-03
+1.27442500E-03,-1.83283378E-03,-1.97038975E-03
+1.27445000E-03,-2.18236952E-03,-2.17257187E-03
+1.27447500E-03,-2.46567566E-03,-2.48388007E-03
+1.27450000E-03,-2.68361572E-03,-2.82718355E-03
+1.27452500E-03,-3.01859022E-03,-3.07226606E-03
+1.27455000E-03,-3.25184260E-03,-3.36939021E-03
+1.27457500E-03,-3.56856776E-03,-3.73240445E-03
+1.27460000E-03,-3.94358672E-03,-3.99608183E-03
+1.27462500E-03,-4.21432040E-03,-4.21247062E-03
+1.27465000E-03,-4.48465698E-03,-4.50906682E-03
+1.27467500E-03,-4.78642623E-03,-4.84521270E-03
+1.27470000E-03,-5.05251239E-03,-5.21306682E-03
+1.27472500E-03,-5.18894885E-03,-5.33017090E-03
+1.27475000E-03,-5.38567450E-03,-5.58533569E-03
+1.27477500E-03,-5.51721560E-03,-5.75813513E-03
+1.27480000E-03,-5.70352522E-03,-5.85065691E-03
+1.27482500E-03,-5.85002495E-03,-5.95184175E-03
+1.27485000E-03,-5.87674949E-03,-5.98342758E-03
+1.27487500E-03,-5.97675873E-03,-6.11603181E-03
+1.27490000E-03,-5.93290526E-03,-6.13594399E-03
+1.27492500E-03,-5.81968888E-03,-6.11764671E-03
+1.27495000E-03,-5.70224198E-03,-5.98958416E-03
+1.27497500E-03,-5.63128135E-03,-5.74708591E-03
+1.27500000E-03,-5.53943405E-03,-5.64437241E-03
+1.27502500E-03,-5.27673869E-03,-5.50020036E-03
+1.27505000E-03,-5.05902898E-03,-5.31303234E-03
+1.27507500E-03,-4.83910918E-03,-5.02504673E-03
+1.27510000E-03,-4.53652073E-03,-4.71530037E-03
+1.27512500E-03,-4.23892501E-03,-4.43746819E-03
+1.27515000E-03,-4.10465583E-03,-4.15386174E-03
+1.27517500E-03,-3.80083540E-03,-3.91871376E-03
+1.27520000E-03,-3.30751896E-03,-3.61032210E-03
+1.27522500E-03,-3.05881408E-03,-3.27830061E-03
+1.27525000E-03,-2.85454640E-03,-2.91950633E-03
+1.27527500E-03,-2.68222575E-03,-2.62248741E-03
+1.27530000E-03,-2.22102220E-03,-2.40277053E-03
+1.27532500E-03,-1.88495381E-03,-2.12044310E-03
+1.27535000E-03,-1.63710040E-03,-1.84826880E-03
+1.27537500E-03,-1.40999948E-03,-1.57562444E-03
+1.27540000E-03,-1.27538084E-03,-1.39683455E-03
+1.27542500E-03,-1.16531285E-03,-1.24971491E-03
+1.27545000E-03,-969.49716E-06,-1.19633184E-03
+1.27547500E-03,-895.21416E-06,-1.06476632E-03
+1.27550000E-03,-831.76360E-06,-984.11267E-06
+1.27552500E-03,-970.65225E-06,-1.03769594E-03
+1.27555000E-03,-929.79251E-06,-1.12490236E-03
+1.27557500E-03,-988.98933E-06,-1.09519465E-03
+1.27560000E-03,-1.08298400E-03,-1.18880670E-03
+1.27562500E-03,-1.22453169E-03,-1.29528669E-03
+1.27565000E-03,-1.49424836E-03,-1.47408804E-03
+1.27567500E-03,-1.68498930E-03,-1.75808555E-03
+1.27570000E-03,-1.87926698E-03,-1.95665827E-03
+1.27572500E-03,-2.10593613E-03,-2.17309922E-03
+1.27575000E-03,-2.41593034E-03,-2.42184209E-03
+1.27577500E-03,-2.72064325E-03,-2.69496616E-03
+1.27580000E-03,-2.92660936E-03,-3.07537676E-03
+1.27582500E-03,-3.30661533E-03,-3.45949205E-03
+1.27585000E-03,-3.68034593E-03,-3.66921801E-03
+1.27587500E-03,-3.90630080E-03,-3.90403614E-03
+1.27590000E-03,-4.17399493E-03,-4.22560058E-03
+1.27592500E-03,-4.55263144E-03,-4.57249507E-03
+1.27595000E-03,-4.70541137E-03,-4.76413542E-03
+1.27597500E-03,-4.87176086E-03,-5.06110369E-03
+1.27600000E-03,-5.15507906E-03,-5.36132678E-03
+1.27602500E-03,-5.42750663E-03,-5.56587759E-03
+1.27605000E-03,-5.51425656E-03,-5.73739862E-03
+1.27607500E-03,-5.64021878E-03,-5.85233604E-03
+1.27610000E-03,-5.63735471E-03,-5.83263552E-03
+1.27612500E-03,-5.77058096E-03,-5.91384908E-03
+1.27615000E-03,-5.79888302E-03,-6.01094420E-03
+1.27617500E-03,-5.73485627E-03,-5.95135873E-03
+1.27620000E-03,-5.75023792E-03,-5.85212830E-03
+1.27622500E-03,-5.68319725E-03,-5.85437456E-03
+1.27625000E-03,-5.52524518E-03,-5.64579796E-03
